timestamp,src_ip,dst_ip,protocol,recon_error,classification,time_seconds,is_attack
1767522379.282689,192.168.1.9,142.250.182.10,6,0.028122098551538025,NORMAL,0.0,0
1767522379.340964,142.250.182.10,192.168.1.9,6,0.021153674983593704,NORMAL,0.05827498435974121,0
1767522379.3987796,192.168.1.9,192.168.196.99,6,0.011699260324232715,NORMAL,0.11609053611755371,0
1767522379.456064,192.168.1.9,23.15.33.63,6,0.011849168377322018,NORMAL,0.17337489128112793,0
1767522379.515259,20.42.65.85,192.168.1.9,6,0.031150532109313175,NORMAL,0.23256993293762207,0
1767522379.601984,192.168.1.9,20.42.65.85,6,0.3987130208843696,NORMAL,0.31929492950439453,0
1767522379.65126,192.168.1.9,13.89.179.9,6,0.026751551016042298,NORMAL,0.36857080459594727,0
1767522379.700565,192.168.1.9,13.89.179.9,6,9.214079087178947,NORMAL,0.4178760051727295,0
1767522379.7499437,192.168.1.9,35.190.80.1,6,0.012504911698675682,NORMAL,0.467254638671875,0
1767522379.7999122,192.168.1.9,35.190.80.1,6,0.021682482223905675,NORMAL,0.5172231197357178,0
1767522379.8799376,35.190.80.1,192.168.1.9,6,0.01988785048764441,NORMAL,0.5972485542297363,0
1767522379.9323938,35.190.80.1,192.168.1.9,6,0.01880905576184278,NORMAL,0.6497046947479248,0
1767522379.9884794,192.168.1.9,142.250.182.106,6,0.010823558363264756,NORMAL,0.7057902812957764,0
1767522380.0485468,142.250.182.106,192.168.1.9,6,0.01621352165702275,NORMAL,0.7658576965332031,0
1767522380.1018045,20.42.65.85,192.168.1.9,6,2.037756407156585,NORMAL,0.819115400314331,0
1767522380.1847174,20.42.65.85,192.168.1.9,6,2.542454516112802,NORMAL,0.9020283222198486,0
1767522380.2335875,20.42.65.85,192.168.1.9,6,3.0573403841968343,NORMAL,0.9508984088897705,0
1767522380.2823048,20.42.65.85,192.168.1.9,6,2.8969057920385386,NORMAL,0.9996156692504883,0
1767522380.3315244,192.168.1.9,20.42.65.85,6,3.1712269951764207,NORMAL,1.048835277557373,0
1767522380.382032,192.168.1.9,20.42.65.85,6,3.51156622171868,NORMAL,1.0993428230285645,0
1767522380.4641736,13.89.179.9,192.168.1.9,6,90.29647859165549,ATTACK,1.1814844608306885,1
1767522380.5435584,192.168.1.9,20.42.65.85,6,192.59400951870808,ATTACK,1.2608692646026611,1
1767522380.5974364,13.89.179.9,192.168.1.9,6,27.3733673390693,ATTACK,1.3147473335266113,1
1767522380.649406,13.89.179.9,192.168.1.9,6,19.241707632776816,ATTACK,1.3667168617248535,1
1767522380.7018,192.168.1.9,13.89.179.9,6,604.7920041536478,ATTACK,1.4191110134124756,1
1767522380.8026884,20.42.65.85,192.168.1.9,6,195.1124630854552,ATTACK,1.5199992656707764,1
1767522380.8546166,20.42.65.85,192.168.1.9,6,196.716854702708,ATTACK,1.571927547454834,1
1767522380.9150982,20.42.65.85,192.168.1.9,6,198.06852144258409,ATTACK,1.6324090957641602,1
1767522380.9741812,20.42.65.85,192.168.1.9,6,199.07395062282632,ATTACK,1.6914920806884766,1
1767522381.0752077,20.42.65.85,192.168.1.9,6,199.91604293037528,ATTACK,1.7925186157226562,1
1767522381.1728997,192.168.1.9,20.42.65.85,6,551.514855005923,ATTACK,1.8902106285095215,1
1767522381.2283194,216.58.200.170,192.168.1.9,6,0.06408589473220618,NORMAL,1.9456303119659424,0
1767522381.2793405,192.168.1.9,216.58.200.170,6,0.06325303294128559,NORMAL,1.9966514110565186,0
1767522381.331102,216.58.200.170,192.168.1.9,6,0.08554009152452477,NORMAL,2.048412799835205,0
1767522381.3848503,192.168.1.9,216.58.200.170,6,0.10944368151353147,NORMAL,2.102161169052124,0
1767522381.510106,20.42.65.85,192.168.1.9,6,551.818620909232,ATTACK,2.2274169921875,1
1767522381.5635498,192.168.1.9,20.42.65.85,6,554.4330018490595,ATTACK,2.280860662460327,1
1767522381.6811247,20.42.65.85,192.168.1.9,6,555.3603606175235,ATTACK,2.398435592651367,1
1767522381.7433264,20.42.65.85,192.168.1.9,6,555.9510257830832,ATTACK,2.460637331008911,1
1767522381.7948835,20.42.65.85,192.168.1.9,6,556.7764940405348,ATTACK,2.5121943950653076,1
1767522381.8960915,20.42.65.85,192.168.1.9,6,556.9465879152856,ATTACK,2.6134023666381836,1
1767522381.9509645,20.42.65.85,192.168.1.9,6,557.4763666872557,ATTACK,2.6682753562927246,1
1767522382.0042827,52.16.32.113,192.168.1.9,6,0.10765290578181702,NORMAL,2.7215936183929443,0
1767522382.0588996,192.168.1.9,52.16.32.113,6,0.10646683617552731,NORMAL,2.7762105464935303,0
1767522382.1116462,192.168.1.9,167.82.61.140,17,0.016237581936434046,NORMAL,2.8289570808410645,0
1767522382.193384,167.82.61.140,192.168.1.9,17,0.02091927038572802,NORMAL,2.9106948375701904,0
1767522382.2502549,192.168.1.9,142.250.182.106,6,0.010949056367419595,NORMAL,2.9675657749176025,0
