timestamp,src_ip,dst_ip,protocol,recon_error,classification
1767529985.4204445,20.189.173.12,192.168.1.9,6,0.011755271782249903,NORMAL
1767529985.464459,20.189.173.12,192.168.1.9,6,0.02618739187930961,NORMAL
1767529985.51223,20.189.173.12,192.168.1.9,6,0.2707227757297307,NORMAL
1767529985.563789,192.168.1.9,20.189.173.12,6,0.12017902284101417,NORMAL
1767529985.6112404,192.168.1.9,20.189.173.12,6,0.17982319720178241,NORMAL
1767529985.6807647,192.168.1.9,20.189.173.12,6,0.2541041933047114,NORMAL
1767529985.7263665,192.168.1.9,205.254.161.3,17,0.03308687835662693,NORMAL
1767529985.770909,192.168.1.9,205.254.161.3,17,0.01678263620895624,NORMAL
1767529985.8216267,192.168.1.9,3.233.158.112,6,0.017746501706884434,NORMAL
1767529985.8704646,192.168.1.9,3.233.158.112,6,0.017749918422360945,NORMAL
1767529985.9608371,192.168.1.9,3.233.158.112,6,0.012331159612369249,NORMAL
1767529986.0098534,205.254.161.3,192.168.1.9,17,0.06677991916641035,NORMAL
1767529986.0554805,205.254.161.3,192.168.1.9,17,0.08764560539252365,NORMAL
1767529986.1011937,192.168.1.9,3.233.158.112,6,0.011763950451359409,NORMAL
1767529986.1472545,13.89.179.8,192.168.1.9,6,0.013893449336336313,NORMAL
1767529986.2186925,20.189.173.12,192.168.1.9,6,0.2544607941562026,NORMAL
1767529986.265139,3.233.158.112,192.168.1.9,6,0.014166403662078504,NORMAL
1767529986.3157537,3.233.158.112,192.168.1.9,6,0.01650886821206197,NORMAL
1767529986.3687844,192.168.1.9,3.233.158.112,6,0.019715097095465404,NORMAL
1767529986.423154,192.168.1.9,3.233.158.112,6,2.091998193227528,NORMAL
1767529986.5096073,192.168.1.9,142.250.183.10,6,0.015601312426255521,NORMAL
1767529986.5553744,142.250.183.10,192.168.1.9,6,0.01785007628190063,NORMAL
1767529986.5990725,3.233.158.112,192.168.1.9,6,1.7358055817954894,NORMAL
1767529986.643519,3.233.158.112,192.168.1.9,6,11.97910357278788,NORMAL
1767529986.6913602,3.233.158.112,192.168.1.9,6,37.94336785749611,ATTACK
1767529986.7693098,192.168.1.9,3.233.158.112,6,37.88565391881251,ATTACK
1767529986.8182287,3.233.158.112,192.168.1.9,6,57.30993490163008,ATTACK
1767529986.8676383,192.168.1.9,3.233.158.112,6,57.35571342583119,ATTACK
1767529986.9184053,192.168.1.9,3.233.158.112,6,57.32974731362117,ATTACK
1767529986.9740531,192.168.1.9,3.233.158.112,6,57.769671882233304,ATTACK
1767529987.128747,192.168.1.9,142.250.183.10,6,0.016534660794629376,NORMAL
1767529987.1734736,142.250.183.10,192.168.1.9,6,0.020641734346789616,NORMAL
1767529987.2240407,192.168.1.9,142.250.183.10,6,0.013154921465566377,NORMAL
1767529987.2736957,142.250.183.10,192.168.1.9,6,0.01658352226132329,NORMAL
1767529987.3253667,192.168.1.9,142.250.183.10,6,0.024513273485959275,NORMAL
1767529987.4059432,192.168.1.9,142.250.183.10,6,0.9477351706546541,NORMAL
1767529987.4562893,192.168.1.9,142.250.183.10,6,0.0126765069392837,NORMAL
1767529987.5072842,142.250.183.10,192.168.1.9,6,0.017075068161078726,NORMAL
1767529987.5558815,142.250.183.10,192.168.1.9,6,1.1941933170787178,NORMAL
1767529987.6048298,142.250.183.10,192.168.1.9,6,12.127787450244707,NORMAL
1767529987.691026,142.250.183.10,192.168.1.9,6,35.291381773364016,ATTACK
1767529987.7417696,142.250.183.10,192.168.1.9,6,48.72188460268107,ATTACK
1767529987.7866461,142.250.183.10,192.168.1.9,6,60.76796150926657,ATTACK
1767529987.832084,192.168.1.9,142.250.183.10,6,61.93714781352976,ATTACK
1767529987.8778105,192.168.1.9,142.250.183.10,6,62.64746708750968,ATTACK
1767529987.983509,192.168.1.9,142.250.183.10,6,62.942497355433574,ATTACK
1767529988.0347648,192.168.1.9,142.250.183.10,6,59.77239180235668,ATTACK
1767529988.0872056,192.168.1.9,142.250.183.10,6,100.63933896791856,ATTACK
1767529988.137367,192.168.1.9,142.250.183.10,6,100.42838478492273,ATTACK
1767529988.192342,192.168.1.9,142.250.183.10,6,161.34409608100376,ATTACK
1767529988.3296323,192.168.1.9,142.250.183.10,6,177.54866423454192,ATTACK
1767529988.3760517,142.250.183.10,192.168.1.9,6,180.4592142981278,ATTACK
1767529988.4309318,142.250.183.10,192.168.1.9,6,183.38243142396743,ATTACK
1767529988.4864407,192.168.1.9,142.250.183.10,6,185.43261130963012,ATTACK
1767529988.5438242,142.250.183.10,192.168.1.9,6,188.3965124606784,ATTACK
1767529988.638108,142.250.183.10,192.168.1.9,6,191.36356002058372,ATTACK
1767529988.686254,142.250.183.10,192.168.1.9,6,194.35666940476574,ATTACK
1767529988.7341242,142.250.183.10,192.168.1.9,6,197.3952550855245,ATTACK
1767529988.7883928,192.168.1.9,3.233.158.112,6,0.03229344411003299,NORMAL
1767529988.846627,3.233.158.112,192.168.1.9,6,59.09637065439344,ATTACK
1767529988.9392352,192.168.1.9,142.250.183.10,6,0.0664407101143988,NORMAL
1767529988.986661,142.250.183.10,192.168.1.9,6,0.015446163775783216,NORMAL
1767529989.0370462,192.168.1.9,142.250.183.10,6,0.018839337189388412,NORMAL
1767529989.0850556,192.168.1.9,142.250.183.10,6,1.141136820587298,NORMAL
1767529989.138633,142.250.183.10,192.168.1.9,6,1.0733528959976548,NORMAL
1767529989.2736635,142.250.183.10,192.168.1.9,6,1.3737987301579062,NORMAL
1767529989.3226626,142.250.183.10,192.168.1.9,6,12.895376281417633,NORMAL
1767529989.37528,142.250.183.10,192.168.1.9,6,35.899021472465684,ATTACK
1767529989.4203863,142.250.183.10,192.168.1.9,6,49.256924286001734,ATTACK
1767529989.4649518,142.250.183.10,192.168.1.9,6,61.531735213017676,ATTACK
1767529989.5645156,192.168.1.9,142.250.183.10,6,62.63698359657106,ATTACK
1767529989.6112897,192.168.1.9,142.250.183.10,6,63.40605718886492,ATTACK
1767529989.6675863,192.168.1.9,142.250.183.10,6,63.55770309798579,ATTACK
1767529989.7225854,192.168.1.9,142.250.183.10,6,60.452691858580195,ATTACK
1767529989.7780974,192.168.1.9,142.250.183.10,6,101.5728071066748,ATTACK
1767529989.9151335,192.168.1.9,142.250.183.10,6,101.48144470515928,ATTACK
1767529989.9700584,192.168.1.9,142.250.183.10,6,163.57726909106304,ATTACK
1767529990.02232,192.168.1.9,142.250.183.10,6,180.45494403205933,ATTACK
1767529990.0778162,142.250.183.10,192.168.1.9,6,183.3898076325986,ATTACK
1767529990.143282,142.250.183.10,192.168.1.9,6,186.34589996518395,ATTACK
1767529990.2700682,192.168.1.9,142.250.183.10,6,194.8417185483083,ATTACK
1767529990.3372798,142.250.183.10,192.168.1.9,6,197.8483048849385,ATTACK
1767529990.3922746,142.250.183.10,192.168.1.9,6,200.09609557625768,ATTACK
1767529990.4417338,142.250.183.10,192.168.1.9,6,202.28676124900872,ATTACK
1767529990.5118206,142.250.183.10,192.168.1.9,6,204.44727851468494,ATTACK
1767529990.5914683,142.250.183.10,192.168.1.9,6,206.64868358816804,ATTACK
1767529990.6425495,142.250.183.10,192.168.1.9,6,208.91654271114732,ATTACK
1767529990.6960423,142.250.183.10,192.168.1.9,6,211.19207710697717,ATTACK
1767529990.753217,142.250.183.10,192.168.1.9,6,213.50630044388274,ATTACK
1767529990.806465,142.250.183.10,192.168.1.9,6,215.83996309031983,ATTACK
1767529990.9095333,3.233.158.112,192.168.1.9,6,72.14625631502409,ATTACK
1767529990.9585695,192.168.1.9,3.233.158.112,6,72.77081251152377,ATTACK
1767529991.0157526,192.168.1.9,216.239.38.223,6,0.018926550399336224,NORMAL
1767529991.0614984,192.168.1.9,216.239.38.223,6,4288.609588015633,ATTACK
1767529991.1073315,192.168.1.9,216.239.38.223,6,3720.6306700515297,ATTACK
1767529991.2065952,192.168.1.9,216.239.38.223,6,1193.3434586524795,ATTACK
1767529991.2519314,192.168.1.9,216.239.38.223,6,9710.271053640505,ATTACK
1767529991.2978477,192.168.1.9,216.239.38.223,6,195.2395442292338,ATTACK
1767529991.342773,192.168.1.9,216.239.38.223,6,9777.898181397844,ATTACK
1767529991.3886526,192.168.1.9,216.239.38.223,6,645.8942866864102,ATTACK
1767529991.47335,216.239.38.223,192.168.1.9,6,3365.1202287599435,ATTACK
1767529991.5222003,216.239.38.223,192.168.1.9,6,3130.651395469445,ATTACK
1767529991.5707617,216.239.38.223,192.168.1.9,6,2073.4147582986166,ATTACK
1767529991.617107,216.239.38.223,192.168.1.9,6,5202.1090409826975,ATTACK
1767529991.6663575,216.239.38.223,192.168.1.9,6,2294.99601617778,ATTACK
1767529991.7743745,216.239.38.223,192.168.1.9,6,9612.447721201826,ATTACK
1767529991.8214602,216.239.38.223,192.168.1.9,6,846.4571553418428,ATTACK
1767529991.867585,216.239.38.223,192.168.1.9,6,433.88699546987357,ATTACK
1767529991.9161603,216.239.38.223,192.168.1.9,6,1513.3636690699718,ATTACK
1767529991.964882,216.239.38.223,192.168.1.9,6,2936.0666829626675,ATTACK
1767529992.0833595,216.239.38.223,192.168.1.9,6,1473.5878797558692,ATTACK
1767529992.136699,216.239.38.223,192.168.1.9,6,2332.7157384617985,ATTACK
1767529992.1874626,216.239.38.223,192.168.1.9,6,5049.656000548433,ATTACK
1767529992.2377758,216.239.38.223,192.168.1.9,6,1134.6464209829971,ATTACK
1767529992.2853413,216.239.38.223,192.168.1.9,6,14528.027469035384,ATTACK
1767529992.402847,216.239.38.223,192.168.1.9,6,3160.888486848361,ATTACK
1767529992.4499562,216.239.38.223,192.168.1.9,6,3306.331151032994,ATTACK
1767529992.4988763,216.239.38.223,192.168.1.9,6,186.06739902639723,ATTACK
1767529992.5451732,192.168.1.9,216.239.38.223,6,411.6965132475798,ATTACK
1767529992.5930395,216.239.38.223,192.168.1.9,6,205.54639794116426,ATTACK
1767529992.6763988,216.239.38.223,192.168.1.9,6,2062.950046107603,ATTACK
1767529992.726525,192.168.1.9,216.239.38.223,6,247.3944550324431,ATTACK
1767529992.7734041,192.168.1.9,216.239.38.223,6,2356.705040790368,ATTACK
1767529992.821902,216.239.38.223,192.168.1.9,6,1184.8746799671471,ATTACK
1767529992.8716123,20.192.44.82,192.168.1.9,6,0.023733819699842285,NORMAL
1767529992.9634364,192.168.1.9,20.192.44.82,6,0.05487087804385586,NORMAL
1767529993.0131805,142.250.183.10,192.168.1.9,6,225.97605148706228,ATTACK
1767529993.0587137,142.250.183.10,192.168.1.9,6,244.0659644119626,ATTACK
1767529993.1078181,142.250.183.10,192.168.1.9,6,236.1970796757663,ATTACK
1767529993.159669,192.168.1.9,142.250.183.10,6,236.41394396715194,ATTACK
