timestamp,src_ip,dst_ip,protocol,recon_error,classification
1767522379.282689,192.168.1.9,142.250.182.10,6,0.028122098551538025,NORMAL
1767522379.340964,142.250.182.10,192.168.1.9,6,0.021153674983593704,NORMAL
1767522379.3987796,192.168.1.9,192.168.196.99,6,0.011699260324232715,NORMAL
1767522379.456064,192.168.1.9,23.15.33.63,6,0.011849168377322018,NORMAL
1767522379.515259,20.42.65.85,192.168.1.9,6,0.031150532109313175,NORMAL
1767522379.601984,192.168.1.9,20.42.65.85,6,0.3987130208843696,NORMAL
1767522379.65126,192.168.1.9,13.89.179.9,6,0.026751551016042298,NORMAL
1767522379.700565,192.168.1.9,13.89.179.9,6,9.214079087178947,NORMAL
1767522379.7499437,192.168.1.9,35.190.80.1,6,0.012504911698675682,NORMAL
1767522379.7999122,192.168.1.9,35.190.80.1,6,0.021682482223905675,NORMAL
1767522379.8799376,35.190.80.1,192.168.1.9,6,0.01988785048764441,NORMAL
1767522379.9323938,35.190.80.1,192.168.1.9,6,0.01880905576184278,NORMAL
1767522379.9884794,192.168.1.9,142.250.182.106,6,0.010823558363264756,NORMAL
1767522380.0485468,142.250.182.106,192.168.1.9,6,0.01621352165702275,NORMAL
1767522380.1018045,20.42.65.85,192.168.1.9,6,2.037756407156585,NORMAL
1767522380.1847174,20.42.65.85,192.168.1.9,6,2.542454516112802,NORMAL
1767522380.2335875,20.42.65.85,192.168.1.9,6,3.0573403841968343,NORMAL
1767522380.2823048,20.42.65.85,192.168.1.9,6,2.8969057920385386,NORMAL
1767522380.3315244,192.168.1.9,20.42.65.85,6,3.1712269951764207,NORMAL
1767522380.382032,192.168.1.9,20.42.65.85,6,3.51156622171868,NORMAL
1767522380.4641736,13.89.179.9,192.168.1.9,6,90.29647859165549,ATTACK
1767522380.5435584,192.168.1.9,20.42.65.85,6,192.59400951870808,ATTACK
1767522380.5974364,13.89.179.9,192.168.1.9,6,27.3733673390693,ATTACK
1767522380.649406,13.89.179.9,192.168.1.9,6,19.241707632776816,ATTACK
1767522380.7018,192.168.1.9,13.89.179.9,6,604.7920041536478,ATTACK
1767522380.8026884,20.42.65.85,192.168.1.9,6,195.1124630854552,ATTACK
1767522380.8546166,20.42.65.85,192.168.1.9,6,196.716854702708,ATTACK
1767522380.9150982,20.42.65.85,192.168.1.9,6,198.06852144258409,ATTACK
1767522380.9741812,20.42.65.85,192.168.1.9,6,199.07395062282632,ATTACK
