timestamp,src_ip,dst_ip,protocol,recon_error,classification
1767522300.592793,20.42.65.85,192.168.1.9,6,0.029887628495986078,NORMAL
1767522300.8683758,34.54.84.110,192.168.1.9,6,0.016523474667384106,NORMAL
1767522300.924879,34.54.84.110,192.168.1.9,6,1.1457942676289083,NORMAL
1767522300.98041,34.54.84.110,192.168.1.9,6,1.1392878868594136,NORMAL
1767522301.036949,34.54.84.110,192.168.1.9,6,1.3685690723375288,NORMAL
1767522301.1086879,34.54.84.110,192.168.1.9,6,2.1132685305135928,NORMAL
1767522301.161781,34.54.84.110,192.168.1.9,6,2.609498253860984,NORMAL
1767522301.2107756,34.54.84.110,192.168.1.9,6,3.730741322420705,NORMAL
1767522301.264464,34.54.84.110,192.168.1.9,6,4.822335646985137,NORMAL
1767522301.3159232,34.54.84.110,192.168.1.9,6,6.384498920065125,NORMAL
1767522301.389791,34.54.84.110,192.168.1.9,6,7.887733915046351,NORMAL
1767522301.4412904,34.54.84.110,192.168.1.9,6,10.275983949191406,NORMAL
1767522301.4900188,34.54.84.110,192.168.1.9,6,12.398621989075243,NORMAL
1767522301.539728,34.54.84.110,192.168.1.9,6,12.716417944262421,NORMAL
1767522301.594441,34.54.84.110,192.168.1.9,6,12.591190967134988,NORMAL
1767522301.680566,192.168.1.9,34.54.84.110,6,12.3591059703029,NORMAL
1767522301.7370186,192.168.1.9,34.54.84.110,6,12.12757552575118,NORMAL
1767522301.789933,192.168.1.9,34.54.84.110,6,11.852055526033435,NORMAL
1767522301.8450944,192.168.1.9,34.54.84.110,6,12.1218329141565,NORMAL
1767522301.8946538,192.168.1.9,34.54.84.110,6,11.958629661197474,NORMAL
1767522301.982714,192.168.1.9,34.54.84.110,6,11.954034082493589,NORMAL
1767522302.032903,34.54.84.110,192.168.1.9,6,11.628266503879669,NORMAL
1767522302.0856442,34.54.84.110,192.168.1.9,6,11.81216764531808,NORMAL
1767522302.1393595,192.168.1.9,192.168.196.99,6,0.020478182430512196,NORMAL
1767522302.1959717,192.168.1.9,167.82.61.140,6,0.02477890382180114,NORMAL
1767522302.2858598,167.82.61.140,192.168.1.9,6,0.031487793948682646,NORMAL
1767522302.3384697,192.168.1.5,224.0.0.251,17,0.01351492996171528,NORMAL
1767522302.6193175,192.168.1.9,20.42.65.85,6,0.011350725224629514,NORMAL
1767522302.674702,20.195.84.7,192.168.1.9,6,0.030579897203429577,NORMAL
1767522302.7277136,192.168.1.9,20.195.84.7,6,0.030799770161817237,NORMAL
1767522302.9099548,20.42.65.85,192.168.1.9,6,0.01894033047820378,NORMAL
1767522302.963714,192.168.1.9,20.42.65.85,6,0.021314304436947516,NORMAL
1767522303.0172188,192.168.1.9,20.42.65.85,6,0.12907091740365775,NORMAL
1767522303.1062164,192.168.1.9,205.254.161.3,17,0.018478093758799788,NORMAL
1767522303.1546762,192.168.1.9,205.254.161.3,17,0.01747527973135386,NORMAL
1767522303.2381117,205.254.161.3,192.168.1.9,17,0.09045844710744011,NORMAL
1767522303.2956429,205.254.161.3,192.168.1.9,17,0.09449093230577617,NORMAL
1767522303.35083,192.168.1.9,13.89.179.9,6,0.012787257042205487,NORMAL
