timestamp,src_ip,dst_ip,protocol,recon_error,classification
1767517829.7296262,52.182.143.211,192.168.1.9,6,0.03700922583077322,NORMAL
1767517829.7887995,192.168.1.15,192.168.1.9,17,0.011394850202700813,NORMAL
1767517829.8463492,192.168.1.9,52.182.143.211,6,0.5007485871150044,NORMAL
1767517829.9054122,192.168.1.9,192.168.1.15,17,0.024465560292867224,NORMAL
1767517829.9630883,192.168.1.1,192.168.1.255,17,0.018198952990831862,NORMAL
1767517830.048199,192.168.1.1,192.168.1.255,17,0.08268879872634116,NORMAL
1767517830.1050594,192.168.1.1,192.168.1.255,17,0.019511633070079422,NORMAL
1767517830.1630378,192.168.1.1,192.168.1.255,17,0.019887071179345035,NORMAL
1767517830.221461,192.168.1.1,192.168.1.255,17,0.05169184458778675,NORMAL
1767517830.2776194,192.168.1.1,192.168.1.255,17,0.023069658010095202,NORMAL
1767517830.4496243,52.182.143.211,192.168.1.9,6,2.0030836251427253,NORMAL
1767517830.4943345,52.182.143.211,192.168.1.9,6,2.559826601191852,NORMAL
1767517830.5441425,52.182.143.211,192.168.1.9,6,3.068468776339597,NORMAL
1767517830.5958364,52.182.143.211,192.168.1.9,6,2.9094408947767123,NORMAL
1767517830.6514187,192.168.1.9,52.182.143.211,6,3.2302931736961207,NORMAL
1767517830.741739,192.168.1.9,52.182.143.211,6,3.402843034460199,NORMAL
1767517830.8011718,192.168.1.9,52.182.143.211,6,72.70195984385558,ATTACK
1767517830.8608165,192.168.1.15,192.168.1.9,17,0.7446317172143121,NORMAL
1767517830.9199238,192.168.1.9,192.168.1.15,17,0.8094267299426332,NORMAL
1767517830.9811172,52.182.143.211,192.168.1.9,6,74.03811965674649,ATTACK
1767517831.0896294,52.182.143.211,192.168.1.9,6,74.82547917241719,ATTACK
1767517831.1454895,52.182.143.211,192.168.1.9,6,75.45639583602279,ATTACK
1767517831.201951,52.182.143.211,192.168.1.9,6,76.07240001951607,ATTACK
1767517831.2617025,52.182.143.211,192.168.1.9,6,75.42936768712077,ATTACK
1767517831.3200939,192.168.1.9,52.182.143.211,6,76.29029563214887,ATTACK
1767517831.4936852,192.168.1.9,52.182.143.211,6,77.17351821968883,ATTACK
1767517831.5376313,192.168.1.9,52.182.143.211,6,77.9703909235864,ATTACK
1767517831.5860324,192.168.1.9,192.168.196.99,6,0.01286293356697427,NORMAL
1767517831.634465,192.168.1.15,192.168.1.9,17,0.7033457118592797,NORMAL
1767517831.6898074,192.168.1.9,34.54.84.110,6,0.01326020954401001,NORMAL
1767517831.7770705,192.168.1.9,34.54.84.110,6,0.2692044560303447,NORMAL
